Date,Bullish,Neutral,Bearish,Total,Bullish 8-week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average +St. Dev.,Bullish Average -St. Dev.,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
3-9-90,0.22,0.42,0.36,1,0.2238,-0.14,0.375,0.476,0.274,340.27,333.74,337.93
3-16-90,0.25,0.35,0.4,1,0.2163,-0.15,0.375,0.476,0.274,341.91,336,341.91
3-23-90,0.37,0.39,0.24,1,0.2325,0.13,0.375,0.476,0.274,343.53,335.65,337.22
3-30-90,0.34,0.35,0.31,1,0.2563,0.03,0.375,0.476,0.274,342,337.63,339.94
4-6-90,0.38,0.37,0.25,1,0.28,0.13,0.375,0.476,0.274,343.64,338.7,340.08
4-12-90,0.27,0.56,0.17,1,0.285,0.1,0.375,0.476,0.274,344.34,341.37,344.34
4-20-90,0.34,0.43,0.23,1,0.2975,0.11,0.375,0.476,0.274,344.74,335.12,335.12
4-27-90,0.28,0.35,0.37,1,0.3063,-0.09,0.375,0.476,0.274,332.92,329.11,329.11
5-4-90,0.2,0.35,0.45,1,0.3038,-0.25,0.375,0.476,0.274,338.39,330.8,338.39
5-11-90,0.28,0.38,0.34,1,0.3075,-0.06,0.375,0.476,0.274,352,340.53,352
